SYMBOL	ALIAS	HGNC	ENTREZ
RBBP4P4	RBBP4P4	42371	727842
RBBP4P5	RBBP4P5	42372	100288451
RBBP4P6	RBBP4P6	42373	100820741
RBBP5	RBQ3	9888	5929
RBBP5	SWD1	9888	5929
RBBP5	RBBP5	9888	5929
RBBP6	P2P-R	9889	5930
RBBP6	SNAMA	9889	5930
RBBP6	RBBP6	9889	5930
RBBP6P1	RBBP6P1	45108	100129156
RBBP7	RbAp46	9890	5931
RBBP7	RBBP7	9890	5931
RBBP8	CtIP	9891	5932
RBBP8	SCKL2	9891	5932
RBBP8	RBBP8	9891	5932
RBBP8NL	dJ908M14.3	16144	140893
RBBP8NL	C20orf151	16144	140893
RBBP8NL	RBBP8NL	16144	140893
RBBP8P1	RBBP8P1	39583	100420552
RBBP8P2	RBBP8P2	39584	100420607
RBBP9	Bog	9892	10741
RBBP9	RBBP9	9892	10741
RBCK1	RBCK2	15864	10616
RBCK1	RNF54	15864	10616
RBCK1	ZRANB4	15864	10616
RBCK1	UBCE7IP3	15864	10616
RBCK1	HOIL1	15864	10616
RBCK1	C20orf18	15864	10616
RBCK1	RBCK1	15864	10616
RBFA	FLJ21172	26120	79863
RBFA	HsT169	26120	79863
RBFA	C18orf22	26120	79863
RBFA	RBFA	26120	79863
RBFADN	RBFADN	48591	100506070
RBFOX1	A2BP1	18222	54715
RBFOX1	FOX-1	18222	54715
RBFOX1	HRNBP1	18222	54715
RBFOX1	RBFOX1	18222	54715
RBFOX2	HNRBP2	9906	23543
RBFOX2	FOX-2	9906	23543
RBFOX2	HRNBP2	9906	23543
RBFOX2	RBM9	9906	23543
RBFOX2	RBFOX2	9906	23543
RBFOX3	FOX-3	27097	146713
RBFOX3	NeuN	27097	146713
RBFOX3	HRNBP3	27097	146713
RBFOX3	RBFOX3	27097	146713
RBIS	C8orf59	32235	401466
RBIS	RBIS	32235	401466
RBISP1	C8orf59P1	51355	106481719
RBISP1	RBISP1	51355	106481719
RBISP2	C8orf59P2	51357	106480687
RBISP2	RBISP2	51357	106480687
RBKS	DKFZp686G13268	30325	64080
RBKS	RBSK	30325	64080
RBKS	RBKS	30325	64080
RBL1	p107	9893	5933
RBL1	cp107	9893	5933
RBL1	RBL1	9893	5933
RBL2	Rb2	9894	5934
RBL2	p130	9894	5934
RBL2	RBL2	9894	5934
RBM10	DXS8237E	9896	8241
RBM10	KIAA0122	9896	8241
RBM10	GPATC9	9896	8241
RBM10	ZRANB5	9896	8241
RBM10	GPATCH9	9896	8241
RBM10	S1-1	9896	8241
RBM10	RBM10	9896	8241
RBM11	RBM11	9897	54033
RBM11P1	RBM11P1	43743	100420213
RBM12	HRIHFB2091	9898	10137
RBM12	KIAA0765	9898	10137
RBM12	SWAN	9898	10137
RBM12	RBM12	9898	10137
RBM12B	RBM12B	32310	389677
RBM12B-AS1	PRO1905	28818	55472
RBM12B-AS1	C8orf39	28818	55472
RBM12B-AS1	RBM12B-AS1	28818	55472
RBM14	SYTIP1	14219	10432
RBM14	COAA	14219	10432
RBM14	DKFZp779J0927	14219	10432
RBM14	RBM14	14219	10432
RBM14-RBM4	RBM14-RBM4	38840	100526737
RBM15	OTT	14959	64783
RBM15	OTT1	14959	64783
RBM15	RBM15	14959	64783
RBM15-AS1	AS-RBM15	53636	440600
RBM15-AS1	RBM15-AS1	53636	440600
RBM15B	HUMAGCGB	24303	29890
RBM15B	OTT3	24303	29890
RBM15B	RBM15B	24303	29890
RBM17	SPF45	16944	84991
RBM17	MGC14439	16944	84991
RBM17	RBM17	16944	84991
RBM17P1	RBM17P1	50366	100133330
RBM17P2	RBM17P2	50367	642389
RBM17P3	RBM17P3	50368	100132949
RBM17P4	RBM17P4	50369	100128974
RBM18	MGC2734	28413	92400
RBM18	RBM18	28413	92400
RBM19	DKFZp586F1023	29098	9904
RBM19	KIAA0682	29098	9904
RBM19	Mrd1	29098	9904
RBM19	RBM19	29098	9904
RBM20	RBM20	27424	282996
RBM22	FLJ10290	25503	55696
RBM22	ZC3H16	25503	55696
RBM22	fSAP47	25503	55696
RBM22	Cwc2	25503	55696
RBM22	RBM22	25503	55696
RBM22P1	RBM22P1	31466	400645
RBM22P11	RBM22P8	39704	100132115
RBM22P11	RBM22P11	39704	100132115
RBM22P12	RBM22P12	49207	100131641
RBM22P13	RBM22P13	49208	100130603
RBM22P2	RBM22P2	39695	100271871
RBM22P3	RBM22P3	39696	100128867
RBM22P4	RBM22P4	39697	100271870
RBM22P5	RBM22P5	39698	100133206
RBM22P6	RBM22P10	39699	644509
RBM22P6	RBM22P6	39699	644509
RBM22P7	RBM22P9	39700	106478953
RBM22P7	RBM22P7	39700	106478953
RBM23	FLJ10482	20155	55147
RBM23	CAPERbeta	20155	55147
RBM23	RNPC4	20155	55147
RBM23	RBM23	20155	55147
RBM24	FLJ30829	21539	221662
RBM24	dJ259A10.1	21539	221662
RBM24	RNPC6	21539	221662
RBM24	RBM24	21539	221662
RBM25	S164	23244	58517
RBM25	fSAP94	23244	58517
RBM25	NET52	23244	58517
RBM25	Snu71	23244	58517
RBM25	RNPC7	23244	58517
RBM25	RBM25	23244	58517
RBM25-AS1	RBM25-AS1	55437	105370560
RBM26	PRO1777	20327	64062
RBM26	SE70-2	20327	64062
RBM26	FLJ20957	20327	64062
